id,name,score1,score2
1,Student_1,79,56
2,Student_2,67,54
3,Student_3,66,94
4,Student_4,79,75
5,Student_5,87,85
6,Student_6,65,75
7,Student_7,61,50
8,Student_8,53,83
9,Student_9,99,60
10,Student_10,92,76
11,Student_11,52,51
12,Student_12,55,51
13,Student_13,67,99
14,Student_14,95,93
15,Student_15,63,69
16,Student_16,80,82
17,Student_17,70,57
18,Student_18,74,56
19,Student_19,82,99
20,Student_20,58,98
21,Student_21,51,96
22,Student_22,51,95
23,Student_23,60,100
24,Student_24,54,56
25,Student_25,64,87
26,Student_26,50,83
27,Student_27,98,98
28,Student_28,82,93
29,Student_29,85,56
30,Student_30,92,52
31,Student_31,64,78
32,Student_32,96,60
33,Student_33,94,51
34,Student_34,76,53
35,Student_35,55,79
36,Student_36,56,99
37,Student_37,97,59
38,Student_38,70,89
39,Student_39,88,58
40,Student_40,66,67
41,Student_41,75,95
42,Student_42,100,77
43,Student_43,70,99
44,Student_44,54,89
45,Student_45,70,72
46,Student_46,73,60
47,Student_47,68,85
48,Student_48,54,69
49,Student_49,80,85
50,Student_50,68,90
51,Student_51,82,51
52,Student_52,92,58
53,Student_53,84,57
54,Student_54,88,84
55,Student_55,91,96
56,Student_56,53,88
57,Student_57,50,54
58,Student_58,86,100
59,Student_59,60,76
60,Student_60,99,53
61,Student_61,93,97
62,Student_62,54,97
63,Student_63,84,88
64,Student_64,77,94
65,Student_65,94,63
66,Student_66,91,100
67,Student_67,85,70
68,Student_68,95,84
69,Student_69,89,83
70,Student_70,59,88
71,Student_71,83,83
72,Student_72,50,88
73,Student_73,77,100
74,Student_74,68,85
75,Student_75,50,61
76,Student_76,58,52
77,Student_77,82,61
78,Student_78,61,88
79,Student_79,84,74
80,Student_80,83,76
81,Student_81,74,86
82,Student_82,60,78
83,Student_83,95,75
84,Student_84,89,92
85,Student_85,73,89
86,Student_86,97,62
87,Student_87,90,57
88,Student_88,89,79
89,Student_89,83,54
90,Student_90,87,77
91,Student_91,74,52
92,Student_92,87,91
93,Student_93,100,77
94,Student_94,83,51
95,Student_95,64,74
96,Student_96,88,71
97,Student_97,60,95
98,Student_98,87,57
99,Student_99,52,96
100,Student_100,55,87
101,Student_101,76,52
102,Student_102,78,68
103,Student_103,69,92
104,Student_104,50,81
105,Student_105,72,94
106,Student_106,91,71
107,Student_107,83,83
108,Student_108,100,88
109,Student_109,78,93
110,Student_110,58,83
111,Student_111,78,73
112,Student_112,72,65
113,Student_113,60,61
114,Student_114,51,50
115,Student_115,61,78
116,Student_116,54,87
117,Student_117,50,56
118,Student_118,98,64
119,Student_119,90,83
120,Student_120,76,96
121,Student_121,88,60
122,Student_122,98,96
123,Student_123,95,88
124,Student_124,74,90
125,Student_125,63,85
126,Student_126,84,54
127,Student_127,63,78
128,Student_128,73,63
129,Student_129,88,50
130,Student_130,86,75
131,Student_131,94,54
132,Student_132,89,56
133,Student_133,71,52
134,Student_134,59,94
135,Student_135,81,78
136,Student_136,66,55
137,Student_137,88,51
138,Student_138,74,68
